id,name,time,servings,calories,protein,carbs,fat,sugar,cholesterol,fiber,tags,ingredients,steps,image,source,credits
1,Vegan Broccoli Soup,15,1,270,12,36,6,0,0,10,"[""vegan"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 cup raw cashews"", ""5 cups vegetable broth, divided"", ""2 Yukon Gold potatoes, cut into 1/2-inch cubes"", ""1 onion, finely chopped"", ""4.5 cups coarsely chopped broccoli"", ""1 teaspoon dried basil"", ""1 teaspoon fine sea salt"", ""0.25 teaspoon freshly ground black pepper""]","[""Blend cashews and 1 cup vegetable broth in a blender until smooth, about 1 minute."", ""Pour the remaining 4 cups vegetable broth into a large pot; add potatoes and onion. Bring to a simmer, cover, and cook for 5 minutes. Stir in broccoli and basil; return to a simmer. Cover and cook until potatoes are tender, about 10 minutes."", ""Stir cashew mixture into soup; add salt and black pepper. Bring to a simmer and immediately remove from heat. Transfer about half the soup to a blender; blend until smooth. Return blended soup to pot and stir well. Serve immediately.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/229241/vegan-broccoli-soup/
2,Bum's Lunch,15,1,175,8,23,4,0,0,6,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""4 (4 ounce) cube steaks"", ""4 medium potatoes, thinly sliced"", ""1 large onion, thinly sliced"", ""4 teaspoons margarine"", ""salt and pepper to taste""]","[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Lay out 4 squares of aluminum foil. Place one cube steak onto each piece of foil. Spread margarine over the steaks, and season with salt and pepper. Layer one sliced potato over each steak, and a few rings of onion. Season again with salt and pepper if you like. Fold the foil around the food, and seal into a packet. Place packets onto a baking sheet."", ""Bake for 45 minutes in the preheated oven, until the beef is no longer pink, and the potatoes are tender. Open carefully, as hot steam will be released.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/72901/bums-lunch/
3,Fish Chips,15,4,120,5,13,4,0,3,2,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""4 large potatoes, peeled and cut into strips"", ""1 cup all-purpose flour"", ""1 teaspoon baking powder"", ""1 teaspoon salt"", ""1 teaspoon ground black pepper"", ""1 cup milk"", ""1 egg"", ""1 quart vegetable oil for frying"", ""1.5 pounds cod fillets""]","[""Gather all ingredients."", ""Place sliced potatoes in a medium bowl and cover with cold water."", ""Mix flour, baking powder, salt, and pepper together in a separate medium bowl."", ""Add milk and egg; stir until batter is smooth. Let stand for 20 minutes."", ""Meanwhile, heat oil in a large pot or electric skillet to 350 degrees F (175 degrees C)."", ""Drain and pat dry potatoes. Fry in hot oil until tender, about 5 minutes; drain on paper towels."", ""Dredge cod in batter, one piece at a time, and place in hot oil."", ""Fry fish in batches until golden brown on all sides; drain on paper towels. Monitor oil temperature, increasing the heat as needed to maintain 350 degrees F (175 degrees C)."", ""Fry potatoes again in hot oil until crisp, 1 to 2 minutes; drain on paper towels."", ""Serve and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/16580/classic-fish-and-chips/
4,Pasta,20,4,100,5,8,3,0,3,1,"[""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 cups flour"", ""3 large eggs, at room temperature"", ""2 tablespoons olive oil"", ""1 teaspoon salt"", ""2 tablespoons water, or as needed""]","[""Gather all ingredients."", ""Mix flour, eggs, olive oil, and salt in a bowl until combined. Add water, 1 teaspoon at a time, to flour mixture until a smooth, thick dough forms."", ""Turn dough out onto a lightly floured work surface and knead for 10 minutes. Let dough rest for 5 to 10 minutes."", ""Divide dough into 8 balls; use a pasta machine to roll and cut dough into desired pasta shape.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/241920/easy-homemade-pasta-dough/
5,Char Siu Chinese Bbq Pork,10,4,125,7,10,2,7,6,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.5 cup soy sauce"", ""0.333 cup honey"", ""0.333 cup ketchup"", ""0.333 cup brown sugar"", ""0.25 cup Chinese rice wine"", ""2 tablespoons hoisin sauce"", ""2 tablespoons red bean curd"", ""1 teaspoon Chinese five-spice powder"", ""2 (1 pound) pork tenderloins""]","[""Gather all ingredients."", ""Stir soy sauce, honey, ketchup, brown sugar, rice wine, hoisin sauce, red bean curd, and five-spice powder together in a saucepan over medium-low heat. Cook and stir until just combined and slightly warm, 2 to 3 minutes."", ""Meanwhile, slice each pork tenderloin lengthwise into 1 \u00bd- to 2-inch-thick strips. Place pork strips in a large, resealable plastic bag."", ""Pour marinade into the bag with the pork. Squeeze air from the bag, seal, and turn the bag a few times until pork is well coated. Marinate in the refrigerator, 2 hours to overnight."", ""When ready to cook, preheat a charcoal grill for medium-high heat and lightly oil the grate."", ""Remove pork from marinade and shake to remove excess liquid. Set aside the remaining marinade for basting."", ""Rake the hot coals into two equal piles on opposite sides of the charcoal grate. Add a small container of water to the grate. Place pork strips in the center of the grate for indirect cooking."", ""Cook pork over indirect heat, turning regularly and basting as desired, until an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 30 minutes or longer."", ""Serve hot and enjoy!""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/232681/char-siu-chinese-bbq-pork/
6,German Potato Salad,15,4,100,5,9,2,3,0,2,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""3 cups diced peeled potatoes"", ""4 slices bacon"", ""1 small onion, diced"", ""0.25 cup white vinegar"", ""2 tablespoons water"", ""1.5 tablespoons white sugar, or more to taste"", ""1 teaspoon salt"", ""0.125 teaspoon ground black pepper"", ""1 tablespoon chopped fresh parsley""]","[""Gather the ingredients."", ""Place potatoes in a large pot and add water to cover by at least 1 to 2 inches; bring to a boil. Cook until potatoes are easily pierced with a fork, about 10 minutes. Drain, and set aside to cool."", ""While the potatoes are cooking, place bacon in a large, deep skillet over medium-high heat. Fry until browned and crisp, 10 to 12 minutes, turning as needed. Transfer bacon to a paper towel-lined plate and crumble when cool enough to handle. Leave bacon grease in the skillet."", ""Cook onion in the bacon grease over medium heat until browned, 6 to 8 minutes. Add vinegar, sugar, water, salt, and pepper to the pan and bring to a boil."", ""Once boiling, add potatoes, and 1/2 of the crumbled bacon. Cook until heated through, 3 to 4 minutes."", ""Transfer warm potato salad to a serving dish and sprinkle remaining crumbled bacon over top. Garnish with parsley and serve warm.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/83097/authentic-german-potato-salad/
7,Ever Party Appetizer,20,1,495,6,18,39,0,45,5,"[""vegetarian"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""12 ounces goat cheese"", ""3 tablespoons olive oil"", ""1 cup oil-packed sun-dried tomatoes, drained and diced"", ""1 cup black olives, chopped"", ""4 tablespoons chopped fresh basil"", ""2 tablespoons chopped fresh rosemary"", ""3 cloves garlic, halved""]","[""Slice goat cheese into one inch pieces and place in a single layer on a large platter. Sprinkle olive oil, sun-dried tomatoes, black olives, basil and rosemary over the cheese."", ""Using toothpicks, insert the garlic cloves into the cheese throughout the mixture."", ""Allow the mixture to marinate 6 hours, or overnight, in the refrigerator. Remove the toothpicks, and serve with sliced French bread.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/20509/best-ever-party-appetizer/
8,American Goulash,15,12,100,5,5,3,0,6,1,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""1 tablespoon olive oil"", ""2 pounds ground beef"", ""1 large onion, diced"", ""4 cloves garlic, minced"", ""2 large bay leaves"", ""2 tablespoons paprika"", ""2 teaspoons Italian seasoning"", ""2 teaspoons kosher salt"", ""0.5 teaspoon ground black pepper"", ""1 pinch cayenne pepper, or to taste"", ""1 quart chicken broth"", ""1 (24 ounce) jar marinara sauce"", ""1 (15 ounce) can diced tomatoes"", ""1 cup water"", ""2 tablespoons soy sauce""]","[""Gather all ingredients."", ""Heat oil in a pot over medium-high heat. Add ground beef and onion; cook and stir until beef is browned and crumbly and onion is translucent, about 5 minutes. Continue to cook and stir until liquid is evaporated, 3 to 5 minutes. Add garlic, bay leaves, paprika, Italian seasoning, salt, black pepper, and cayenne."", ""Cook, stirring occasionally, until flavors come together, about 3 minutes. Pour in broth, marinara sauce, and diced tomatoes. Pour water into the sauce jar, swirl, and pour into the pot. Stir in soy sauce; bring to a simmer. Reduce the heat to medium and simmer until flavors intensify, about 30 minutes."", ""Increase the heat to medium-high and bring to a rapid simmer. Stir in macaroni; cook, stirring occasionally, until just barely tender, about 12 minutes. Check for doneness after 10 minutes."", ""Remove from the heat and discard bay leaves. Stir in Cheddar and parsley. Cover and let rest for 5 minutes. Taste and season as desired.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/275489/chef-johns-american-goulash/
9,Gluten-free Peanut Butter Cookies,30,1,300,6,15,15,15,15,3,"[""vegan"", ""gluten-free"", ""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""2 cups peanut butter"", ""2 cups white sugar"", ""4 eggs, beaten"", ""2 cups semi-sweet chocolate chips"", ""1.5 cups chopped pecans""]","[""Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheet."", ""Combine peanut butter, eggs, and sugar and mix until smooth. Mix in chocolate chips and nuts, if desired. Spoon dough by tablespoons onto a cookie sheet."", ""Bake for 10 to 12 minutes or until lightly browned. Let the cookies cool on the cookie sheets for 5 to 10 minutes before removing.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/11441/gluten-free-peanut-butter-cookies/
10,Favorite Bourbon Pecan Pie,10,1,460,8,20,16,45,15,4,"[""breakfast"", ""lunch"", ""dinner"", ""quick""]","[""0.5 cup white sugar"", ""0.5 cup brown sugar"", ""3 tablespoons unsalted butter, melted"", ""0.5 cup light corn syrup"", ""3 large eggs, beaten"", ""2 tablespoons bourbon"", ""2 cups pecan halves"", ""1 (9 inch) unbaked deep-dish pie crust""]","[""Gather all your ingredients and preheat the oven to 375 degrees F (190 degrees C)."", ""Mix white sugar, brown sugar, and butter together in a bowl."", ""Stir in corn syrup, eggs, and bourbon, then fold in pecans."", ""Pour mixture into the pie crust."", ""Bake in the preheated oven for 10 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue to bake until the pie is set, 25 to 30 minutes more."", ""Remove from the oven and place on a wire rack. Allow to cool completely before serving.""]",,Allrecipes,Original recipe from Allrecipes: https://www.allrecipes.com/recipe/155135/favorite-bourbon-pecan-pie/
